Year,Month,Number_of_crimes 
2018,January,13194
2018,February,11641
2018,March,12501
2018,April,12345
2018,May,12758
2018,June,12211
2018,July,13609
2018,August,13663
2018,September,12562
2018,October,13056
2018,November,11824
2018,December,12184
2019,January,11940
2019,February,10788
2019,March,11582
2019,April,11604
2019,May,12027
2019,June,11950
2019,July,12905
2019,August,13497
2019,September,12760
2019,October,13410
2019,November,11990
2019,December,12210
2020,January,12338
2020,February,11284
2020,March,9390
2020,April,7974
2020,May,9378
2020,June,9048
2020,July,9787
2020,August,9621
2020,September,9070
2020,October,9630
2020,November,9766
2020,December,10118
2021,January,10312
2021,February,9247
2021,March,9420
2021,April,9381
2021,May,10573
2021,June,10996
2021,July,11103
2021,August,10873
2021,September,11321
2021,October,12079
2021,November,11753
2021,December,11161
2022,January,10698
2022,February,9799
2022,March,11180
2022,April,10808
2022,May,10591
2022,June,11270
2022,July,12046
2022,August,11813
2022,September,12352
2022,October,12095
2022,November,11368
2022,December,11444
2023,January,11383
2023,February,10515
2023,March,11717
2023,April,11194
2023,May,10968
2023,June,11348
2023,July,12641
2023,August,12701
2023,September,11099
2023,October,10319
2023,November,8986
2023,December,9261
2024,January,9147
2024,February,8814
2024,March,7178
